Roll,Pitch,Yaw,Time
-6.33,-37.90,-45.39,10.623
-6.13,-37.66,-46.72,10.696
-6.32,-37.65,-46.16,10.766
-6.18,-37.58,-45.81,10.836
-6.23,-37.75,-46.91,10.910
-6.25,-37.63,-47.12,10.979
-6.57,-37.65,-45.51,11.053
-6.35,-37.67,-47.18,11.123
-6.26,-37.63,-45.71,11.196
-6.28,-37.49,-46.86,11.266
-6.36,-37.71,-45.42,11.339
-6.80,-37.46,-46.11,11.409
