Roll,Pitch,Yaw,Time
-10.9,79.02,-135.07,0.0398
-10.86,79.02,-137.18,0.0399
-10.81,79.04,-136.24,0.0399
-10.87,78.99,-134.97,0.04
-10.71,79.12,-136.48,0.04
-11.07,78.77,-136.63,0.0401
-10.92,78.87,-135.46,0.0401
-10.72,79.13,-136.16,0.0402
-11.09,78.75,-135.56,0.0402
-11.53,78.34,-134.89,0.0403
-10.89,78.99,-136.84,0.0403
-11.08,78.75,-135.33,0.0404
-11.15,78.76,-136.94,0.0404
-11.0,78.89,-136.65,0.0405
-10.84,79.05,-135.67,0.0405
-10.75,79.15,-136.29,0.0406
-11.5,78.45,-135.95,0.0406
-10.76,79.05,-136.29,0.0407
-10.65,79.16,-135.51,0.0407
-11.23,78.69,-134.96,0.0408
-10.85,79.07,-135.3,0.0408
-11.29,78.65,-136.12,0.0409
-10.83,79.1,-135.44,0.0409
